"","trial","subject","offer_A","RT","offer_B","is_choice_A","choice","subject_original_id"
"1",1,2,7,1.096,5,1,7,"698c6d3d083ae26c88d529bb"
"2",2,2,6,2.755,5,1,6,"698c6d3d083ae26c88d529bb"
"3",3,2,4,1.478,5,0,5,"698c6d3d083ae26c88d529bb"
"4",4,2,7,1.826,5,1,7,"698c6d3d083ae26c88d529bb"
"5",5,2,4,3.09,5,0,5,"698c6d3d083ae26c88d529bb"
"6",6,2,2,3.391,5,0,5,"698c6d3d083ae26c88d529bb"
"7",7,2,8,2.418,5,1,8,"698c6d3d083ae26c88d529bb"
"8",8,2,3,2.957,5,0,5,"698c6d3d083ae26c88d529bb"
"9",9,2,2,3.627,5,0,5,"698c6d3d083ae26c88d529bb"
"10",10,2,3,2.381,5,0,5,"698c6d3d083ae26c88d529bb"
"11",11,2,2,2.762,5,0,5,"698c6d3d083ae26c88d529bb"
"12",12,2,8,3.479,5,1,8,"698c6d3d083ae26c88d529bb"
"13",13,2,7,3.207,5,1,7,"698c6d3d083ae26c88d529bb"
"14",14,2,4,3.428,5,1,4,"698c6d3d083ae26c88d529bb"
"15",15,2,3,3.572,5,0,5,"698c6d3d083ae26c88d529bb"
"16",16,2,4,2.954,5,1,4,"698c6d3d083ae26c88d529bb"
"17",17,2,7,3.229,5,1,7,"698c6d3d083ae26c88d529bb"
"18",18,2,4,2.932,5,0,5,"698c6d3d083ae26c88d529bb"
"19",19,2,4,3.091,5,0,5,"698c6d3d083ae26c88d529bb"
"20",20,2,2,0.939,5,0,5,"698c6d3d083ae26c88d529bb"
"21",21,2,7,1.784,5,0,5,"698c6d3d083ae26c88d529bb"
"22",22,2,4,2.297,5,0,5,"698c6d3d083ae26c88d529bb"
"23",23,2,3,1.65,5,1,3,"698c6d3d083ae26c88d529bb"
"24",24,2,8,1.74,5,0,5,"698c6d3d083ae26c88d529bb"
"25",25,2,3,1.742,5,0,5,"698c6d3d083ae26c88d529bb"
"26",26,2,3,1.51,5,0,5,"698c6d3d083ae26c88d529bb"
