"","subject","trial","offer.1","offer.2","u1","u2","choice_prob","choice"
"1",1,1,2,1,0.1,-0.1,0.549833997312478,2
"2",1,2,5,1,-0.5,-0.1,0.401312339887548,2
"3",1,3,5,6,-0.5,0.5,0.268941421369995,2
"4",1,4,3,4,0.6,-0.4,0.731058578630005,1
"5",1,5,5,4,-0.5,-0.4,0.47502081252106,2
"6",1,6,2,4,0.1,-0.4,0.622459331201855,2
"7",1,7,6,4,0.5,-0.4,0.710949502625004,1
"8",1,8,2,3,0.1,0.6,0.377540668798145,2
"9",1,9,1,4,-0.1,-0.4,0.574442516811659,2
"10",1,10,5,4,-0.5,-0.4,0.47502081252106,2
"11",1,11,1,5,-0.1,-0.5,0.598687660112452,1
"12",1,12,5,6,-0.5,0.5,0.268941421369995,1
"13",1,13,4,1,-0.4,-0.1,0.425557483188341,2
"14",1,14,2,5,0.1,-0.5,0.645656306225795,2
"15",1,15,4,6,-0.4,0.5,0.289050497374996,1
"16",1,16,6,4,0.5,-0.4,0.710949502625004,1
"17",1,17,4,2,-0.4,0.1,0.377540668798145,2
"18",1,18,2,4,0.1,-0.4,0.622459331201855,1
"19",1,19,2,6,0.1,0.5,0.401312339887548,2
"20",1,20,5,1,-0.5,-0.1,0.401312339887548,2
"21",1,21,1,2,-0.1,0.1,0.450166002687522,1
"22",1,22,1,5,-0.1,-0.5,0.598687660112452,2
"23",1,23,2,4,0.1,-0.4,0.622459331201855,1
"24",1,24,6,2,0.5,0.1,0.598687660112452,2
"25",1,25,3,2,0.6,0.1,0.622459331201855,1
"26",1,26,4,5,-0.4,-0.5,0.52497918747894,2
"27",1,27,2,3,0.1,0.6,0.377540668798145,1
"28",1,28,4,2,-0.4,0.1,0.377540668798145,2
"29",1,29,4,3,-0.4,0.6,0.268941421369995,2
"30",1,30,5,2,-0.5,0.1,0.354343693774205,2
"31",1,31,2,3,0.1,0.6,0.377540668798145,2
"32",1,32,3,5,0.6,-0.5,0.750260105595118,2
"33",1,33,4,5,-0.4,-0.5,0.52497918747894,1
"34",1,34,5,2,-0.5,0.1,0.354343693774205,1
"35",1,35,2,1,0.1,-0.1,0.549833997312478,2
"36",1,36,6,4,0.5,-0.4,0.710949502625004,1
"37",1,37,6,5,0.5,-0.5,0.731058578630005,1
"38",1,38,5,3,-0.5,0.6,0.249739894404882,1
"39",1,39,4,6,-0.4,0.5,0.289050497374996,1
"40",1,40,3,6,0.6,0.5,0.52497918747894,1
"41",1,41,1,2,-0.1,0.1,0.450166002687522,2
"42",1,42,4,2,-0.4,0.1,0.377540668798145,1
"43",1,43,6,3,0.5,0.6,0.47502081252106,2
"44",1,44,1,6,-0.1,0.5,0.354343693774205,2
"45",1,45,6,2,0.5,0.1,0.598687660112452,1
"46",1,46,3,4,0.6,-0.4,0.731058578630005,1
"47",1,47,2,3,0.1,0.6,0.377540668798145,2
"48",1,48,2,5,0.1,-0.5,0.645656306225795,1
"49",1,49,6,1,0.5,-0.1,0.645656306225795,2
"50",1,50,5,1,-0.5,-0.1,0.401312339887548,1
"51",1,51,3,1,0.6,-0.1,0.668187772168166,2
"52",1,52,2,1,0.1,-0.1,0.549833997312478,1
"53",1,53,6,5,0.5,-0.5,0.731058578630005,1
"54",1,54,5,1,-0.5,-0.1,0.401312339887548,1
"55",1,55,3,5,0.6,-0.5,0.750260105595118,1
"56",1,56,4,1,-0.4,-0.1,0.425557483188341,2
"57",1,57,2,4,0.1,-0.4,0.622459331201855,2
"58",1,58,3,1,0.6,-0.1,0.668187772168166,1
"59",1,59,3,6,0.6,0.5,0.52497918747894,2
"60",1,60,2,3,0.1,0.6,0.377540668798145,1
"61",1,61,1,6,-0.1,0.5,0.354343693774205,2
"62",1,62,1,3,-0.1,0.6,0.331812227831834,2
"63",1,63,2,5,0.1,-0.5,0.645656306225795,1
"64",1,64,3,6,0.6,0.5,0.52497918747894,1
"65",1,65,4,1,-0.4,-0.1,0.425557483188341,2
"66",1,66,2,5,0.1,-0.5,0.645656306225795,1
"67",1,67,6,5,0.5,-0.5,0.731058578630005,1
"68",1,68,2,6,0.1,0.5,0.401312339887548,2
"69",1,69,6,4,0.5,-0.4,0.710949502625004,1
"70",1,70,5,3,-0.5,0.6,0.249739894404882,1
"71",1,71,1,4,-0.1,-0.4,0.574442516811659,1
"72",1,72,3,4,0.6,-0.4,0.731058578630005,1
"73",1,73,4,2,-0.4,0.1,0.377540668798145,2
"74",1,74,6,5,0.5,-0.5,0.731058578630005,1
"75",1,75,1,6,-0.1,0.5,0.354343693774205,1
"76",1,76,1,3,-0.1,0.6,0.331812227831834,2
"77",1,77,2,6,0.1,0.5,0.401312339887548,2
"78",1,78,2,5,0.1,-0.5,0.645656306225795,2
"79",1,79,6,3,0.5,0.6,0.47502081252106,2
"80",1,80,2,4,0.1,-0.4,0.622459331201855,2
"81",1,81,2,4,0.1,-0.4,0.622459331201855,1
"82",1,82,2,5,0.1,-0.5,0.645656306225795,1
"83",1,83,4,5,-0.4,-0.5,0.52497918747894,1
"84",1,84,1,3,-0.1,0.6,0.331812227831834,2
"85",1,85,4,1,-0.4,-0.1,0.425557483188341,2
"86",1,86,1,2,-0.1,0.1,0.450166002687522,2
"87",1,87,3,1,0.6,-0.1,0.668187772168166,1
"88",1,88,4,5,-0.4,-0.5,0.52497918747894,1
"89",1,89,4,5,-0.4,-0.5,0.52497918747894,1
"90",1,90,5,4,-0.5,-0.4,0.47502081252106,2
"91",1,91,5,1,-0.5,-0.1,0.401312339887548,1
"92",1,92,1,4,-0.1,-0.4,0.574442516811659,2
"93",1,93,6,2,0.5,0.1,0.598687660112452,2
"94",1,94,3,4,0.6,-0.4,0.731058578630005,1
"95",1,95,6,1,0.5,-0.1,0.645656306225795,1
"96",1,96,1,2,-0.1,0.1,0.450166002687522,1
