"","trial","subject","offer_A","offer_B","is_choice_A","choice"
"1",1,"698c6d3d083ae26c88d529bb",7,5,1,7
"2",2,"698c6d3d083ae26c88d529bb",6,5,1,6
"3",3,"698c6d3d083ae26c88d529bb",4,5,0,5
"4",4,"698c6d3d083ae26c88d529bb",7,5,1,7
"5",5,"698c6d3d083ae26c88d529bb",4,5,0,5
"6",6,"698c6d3d083ae26c88d529bb",2,5,0,5
"7",7,"698c6d3d083ae26c88d529bb",8,5,1,8
"8",8,"698c6d3d083ae26c88d529bb",3,5,0,5
"9",9,"698c6d3d083ae26c88d529bb",2,5,0,5
"10",10,"698c6d3d083ae26c88d529bb",3,5,0,5
"11",11,"698c6d3d083ae26c88d529bb",2,5,0,5
"12",12,"698c6d3d083ae26c88d529bb",8,5,1,8
"13",13,"698c6d3d083ae26c88d529bb",7,5,1,7
"14",14,"698c6d3d083ae26c88d529bb",4,5,1,4
"15",15,"698c6d3d083ae26c88d529bb",3,5,0,5
"16",16,"698c6d3d083ae26c88d529bb",4,5,1,4
"17",17,"698c6d3d083ae26c88d529bb",7,5,1,7
"18",18,"698c6d3d083ae26c88d529bb",4,5,0,5
"19",19,"698c6d3d083ae26c88d529bb",4,5,0,5
"20",20,"698c6d3d083ae26c88d529bb",2,5,0,5
"21",21,"698c6d3d083ae26c88d529bb",7,5,0,5
"22",22,"698c6d3d083ae26c88d529bb",4,5,0,5
"23",23,"698c6d3d083ae26c88d529bb",3,5,1,3
"24",24,"698c6d3d083ae26c88d529bb",8,5,0,5
"25",25,"698c6d3d083ae26c88d529bb",3,5,0,5
"26",26,"698c6d3d083ae26c88d529bb",3,5,0,5
"27",27,"698c6d3d083ae26c88d529bb",4,5,0,5
"28",28,"698c6d3d083ae26c88d529bb",7,5,1,7
"29",29,"698c6d3d083ae26c88d529bb",8,5,1,8
"30",30,"698c6d3d083ae26c88d529bb",6,5,1,6
"31",31,"698c6d3d083ae26c88d529bb",7,5,1,7
"32",32,"698c6d3d083ae26c88d529bb",2,5,1,2
"33",33,"698c6d3d083ae26c88d529bb",6,5,1,6
"34",34,"698c6d3d083ae26c88d529bb",2,5,0,5
"35",35,"698c6d3d083ae26c88d529bb",6,5,1,6
"36",36,"698c6d3d083ae26c88d529bb",8,5,1,8
"37",37,"698c6d3d083ae26c88d529bb",3,5,0,5
"38",38,"698c6d3d083ae26c88d529bb",3,5,0,5
"39",39,"698c6d3d083ae26c88d529bb",7,5,0,5
"40",40,"698c6d3d083ae26c88d529bb",6,5,1,6
"41",41,"698c6d3d083ae26c88d529bb",4,5,0,5
"42",42,"698c6d3d083ae26c88d529bb",7,5,0,5
