"trial","subject","R","offer_A","RT","offer_B","is_choice_A","choice","subject_original_id"
1,2,"r1",3,1.096,5,1,3,"698c6d3d083ae26c88d529bb"
2,2,"r1",4,2.755,5,1,4,"698c6d3d083ae26c88d529bb"
3,2,"r2",6,1.478,5,0,5,"698c6d3d083ae26c88d529bb"
4,2,"r1",3,1.826,5,1,3,"698c6d3d083ae26c88d529bb"
5,2,"r2",6,3.09,5,0,5,"698c6d3d083ae26c88d529bb"
6,2,"r2",8,3.391,5,0,5,"698c6d3d083ae26c88d529bb"
7,2,"r1",2,2.418,5,1,2,"698c6d3d083ae26c88d529bb"
8,2,"r2",7,2.957,5,0,5,"698c6d3d083ae26c88d529bb"
9,2,"r2",8,3.627,5,0,5,"698c6d3d083ae26c88d529bb"
10,2,"r2",7,2.381,5,0,5,"698c6d3d083ae26c88d529bb"
11,2,"r2",8,2.762,5,0,5,"698c6d3d083ae26c88d529bb"
12,2,"r1",2,3.479,5,1,2,"698c6d3d083ae26c88d529bb"
13,2,"r1",3,3.207,5,1,3,"698c6d3d083ae26c88d529bb"
14,2,"r1",6,3.428,5,1,6,"698c6d3d083ae26c88d529bb"
15,2,"r2",7,3.572,5,0,5,"698c6d3d083ae26c88d529bb"
16,2,"r1",6,2.954,5,1,6,"698c6d3d083ae26c88d529bb"
17,2,"r1",3,3.229,5,1,3,"698c6d3d083ae26c88d529bb"
18,2,"r2",6,2.932,5,0,5,"698c6d3d083ae26c88d529bb"
19,2,"r2",6,3.091,5,0,5,"698c6d3d083ae26c88d529bb"
20,2,"r2",8,0.939,5,0,5,"698c6d3d083ae26c88d529bb"
21,2,"r2",3,1.784,5,0,5,"698c6d3d083ae26c88d529bb"
22,2,"r2",6,2.297,5,0,5,"698c6d3d083ae26c88d529bb"
23,2,"r1",7,1.65,5,1,7,"698c6d3d083ae26c88d529bb"
24,2,"r2",2,1.74,5,0,5,"698c6d3d083ae26c88d529bb"
25,2,"r2",7,1.742,5,0,5,"698c6d3d083ae26c88d529bb"
26,2,"r2",7,1.51,5,0,5,"698c6d3d083ae26c88d529bb"
27,2,"r2",6,1.685,5,0,5,"698c6d3d083ae26c88d529bb"
28,2,"r1",3,1.435,5,1,3,"698c6d3d083ae26c88d529bb"
29,2,"r1",2,1.341,5,1,2,"698c6d3d083ae26c88d529bb"
30,2,"r1",4,1.255,5,1,4,"698c6d3d083ae26c88d529bb"
